SEASON,PLAYER_ID,PLAYER_NAME,LOCAL_PATH,SOURCE_PAGE,SOURCE_URL,SEASON_MATCH,RIGHTS_NOTE
2019-20,203076,Anthony Davis,2019_20_203076.png,https://www.nba.com/news/anthony-davis-mamba-shot-lakers-moment,https://cdn.nba.com/manage/2020/09/playoffs2020_anthony-davis-scream-celebration-winner.jpg,EXACT_POSTSEASON,NBA.com editorial image; external reuse rights not independently licensed
2016-17,201939,Stephen Curry,2016_17_201939.png,https://www.nba.com/watch/list/collection/nba-finals-2017,https://cdn.nba.com/manage/2020/10/currydurant20171920.jpg,EXACT_POSTSEASON,NBA.com classic-game thumbnail; external reuse rights not independently licensed
2000-01,977,Kobe Bryant,2000_01_977.png,https://www.nba.com/watch/list/collection/nba-finals-2001,https://cdn.nba.com/manage/2020/10/classicgames_2001game3.jpg,EXACT_POSTSEASON,NBA.com classic-game thumbnail; external reuse rights not independently licensed
2025-26,1628384,OG Anunoby,2025_26_1628384.png,https://www.nba.com/news/what-theyre-saying-knicks-win-game-4-nba-finals,https://cdn.nba.com/manage/2026/06/anunoby-block.jpg,EXACT_POSTSEASON,NBA.com editorial image; external reuse rights not independently licensed
2022-23,1627750,Jamal Murray,2022_23_1627750.png,https://www.nba.com/news/2023-nba-finals-film-study-game-1,https://cdn.nba.com/manage/2023/06/GettyImages-1258363954-scaled-e1685806131129.jpg,EXACT_POSTSEASON,NBA.com/Getty editorial image; external reuse rights not independently licensed
2004-05,1938,Manu Ginobili,2004_05_1938.png,https://www.nba.com/watch/list/collection/nba-finals-2005,https://cdn.nba.com/manage/2020/10/2005game2.jpg,EXACT_POSTSEASON,NBA.com classic-game thumbnail; external reuse rights not independently licensed
2010-11,2548,Dwyane Wade,2010_11_2548.png,https://www.nba.com/watch/list/collection/nba-finals-2011,https://cdn.nba.com/manage/2020/10/classic_gamesg32011.jpg,EXACT_POSTSEASON,NBA.com classic-game thumbnail; external reuse rights not independently licensed
2015-16,202681,Kyrie Irving,2015_16_202681.png,https://www.nba.com/news/history-finals-moments-kyrie-irving-clutch-3-2016,https://cdn.nba.com/manage/2021/09/kyrie-irving-3-pointer-1996-finals.jpg,EXACT_POSTSEASON,NBA.com editorial image; external reuse rights not independently licensed
2003-04,406,Shaquille O'Neal,2003_04_406.png,https://www.nba.com/watch/list/collection/nba-finals-2004,https://cdn.nba.com/manage/2020/10/2004game4.jpg,EXACT_POSTSEASON,NBA.com classic-game thumbnail; external reuse rights not independently licensed
2009-10,2200,Pau Gasol,2009_10_2200.png,https://www.nba.com/news/pau-gasol-kobe-bryant-form-unbreakable-bond-on-road-to-back-to-back-titles,https://cdn.nba.com/manage/2023/03/GettyImages-158549264-1.jpg,EXACT_POSTSEASON,NBA.com/Getty editorial image; external reuse rights not independently licensed
2019-20,1627750,Jamal Murray,2019_20_1627750.png,https://www.nba.com/news/donovan-mitchell-jamal-murray-historic-50-points,https://cdn.nba.com/manage/2020/08/playoffs2020-jamal-murray-driving-donovan-mitchell.jpg,EXACT_POSTSEASON,NBA.com editorial image; external reuse rights not independently licensed
